,ARRANGED,British Pub,GPC/RC,Colombo,,Weekly,SUNDAY,,Pubudu,,,,,,,✅,,,,,,,✅,,,,,,,✅,,,,,,,,,
,ARRANGED,French International School 01.,MC,Park Road - Kirulapana,,Twice a month, Friday 3.00 Pm,,Pubudu,,,,,,,,,,,,,,✅,,,,,,,,,,,,,,,,
,ARRANGED,French International School 02.,MC,Park Road - Kirulapana,,Twice a month, Friday 3.00 Pm,,Pubudu,,,,,,,,,,,,,,✅,,,,,,,,,,,,,,,,
,ARRANGED,L R H,RC/RCV,,,,,,Janadara,,,❎,,,,,,❎,,,,,❎,,✅,,,,,,,❎,,,,,,,
,ARRANGED,CWIT,GPC/RC/MC,Port,773936479,Twice a month,,,Pubudu,,,,,,,,,,,✅,fly,,✅,,,,,,,,,,,,,,,,
,TO BE ,Mclarens Automotive (Pvt.) Ltd,MC,Wattala,,Weekly,,,BOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Mclarens Automotive (Pvt.) Ltd,GPC/RC/MC,Wattala,,Fortnightly,,,BOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,LOC/LOIT,,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,International Commodity Exports (Pvt) Ltd,,Alawwa Road,,,,,wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,International Commodity Exports (Pvt) Ltd,,Lolowagoda Mills,,,,,wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Methodist Cherch,RC/MC,Mount Lavania,,Weekly,,,Aravindan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Mirigama Dendro Power (Pvt) Ltd,,,,,,,wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Mclarens Maritime Academy,GP/RC/MC,Kandy,,Daily,,,kanakasaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Airport & Aviation Services,GPC,Katunayake,,Daily,Daily,,pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB - Pettah,RC,Pettah,,Weekly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NNDB HQ - MAIN BRANCHES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB main branch 01,GPC/RC,Malabe DR,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB main branch 02,GPC/RC,Marine drive,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,✅,,,,,,,,,
,TO BE ,NDB main branch 03,GPC/RC,Recovery,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB main branch 04,GPC/RC,Colombo 06 - (Narahenpita),,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB main branch 05,GPC/RC,Vauxhall,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,✅,,,,,,,,,
,TO BE ,NDB main branch 06,GPC/RC,Pettah,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,✅,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,NDB -Nawam Mawatha,MC,HQ,,Fortnightly,Twice a month(MC)   2 pm Sunday,,Janadara,,,,,,,✅,,,,,,,✅,,,,,,,✅,,,,,,,,,
,ARRANGED,NDB - Darmapala Mawatha,MC,HQ,,Weekly,Twice a month(MC)   2 pm Sunday,,Janadara,,,,,,,✅,,,,,,,✅,,,,,,,✅,,,,,,,,,
,ARRANGED,NDB -Nawam Mawatha,GPC/RC/MC,HQ,,Fortnightly,Twice a month(MC)   2 pm Sunday,,Janadara,,,,,,,✅,,,,,,,,,,,,,,✅,,,,,,,,,
,ARRANGED,NDB - Darmapala Mawatha,GPC/RC/MC,HQ,,Weekly,Twice a month(MC)   2 pm Sunday,,Janadara,,,,,,,✅,,,,,,,,,,,,,,✅,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRO PEST OPARATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Continental Food,GPC/ RC ,Peliyagoda,,Monthly,1st Wednesday,,wasantha,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Continental Food,FLY,Peliyagoda,,,"2nd, 3rd, 4th wednesday",,wasantha,,,✅,,,,,,,✅,,,,,,,  ,,,,,,,,,,,,,
,TO BE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03 .,DAILY OPARATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Finagle ,GPC+RC,Ja Ela,,Daily,,,wasantha,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN
,ARRANGED,Serandib Flour Mills - Colombo Port,RCV,Port,,Daily,,,nuwantha,✅,✅,✅,✅,✅,✅,,✅,✅,✅,✅,✅,✅,,✅,✅,✅,✅,✅,✅,,,,,,,,,,
,ARRANGED,Serandib Flour Mills - Head office,,,,,,,nuwantha,✅,,✅,,✅,,,✅,,✅,,✅,,,✅,,✅,,✅,,,,,,,,,,,
,ARRANGED,Jayawardenapura Hospital,,,,,,,Janadara,✅,,✅,,✅,✅,,✅,,✅,,✅,✅,,✅,,,,,,,,,,,,,,,
,TO BE ,Salon EVO,RC,Maharagama,,Weekly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Soul Beach,GPC/RC,Dehiwala,,Weekly,,,Saman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,S A Silva And Sons (Pvt) Ltd,,,,,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Silvermill Nutural Beverages (PVT) Ltd,GPC/RC,Alawwa Road,,,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Silvermill Nutural Beverages (PVT) Ltd,GPC/RC,Loluwagoda WH (Kandalama ),,,,,Wasantha,,,,✅,TERMITE,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Silvermill Nutural Beverages (PVT) Ltd,GPC/RC,Loluwagoda Mills,,,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Vallible Finance - 28 branches,GPC,,,once in 2 months,,,janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Motherson Head Office,MC,,,,,,pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Bio Extract (Pvt) Ltd ,GPC,Rathmalana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Bio Extract (Pvt) Ltd-Baraka-OGF,GPC,OGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Flemingo Retail & Hospitality Services (Pvt) Ltd,GPC,Airport,,,,,pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,INTERNATIONAL LIFESTYLE BRANDS (PVT) LTD,GPC,Airport,,,,,pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,River Arc,MC/FC,Panadura,,,,,wije,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Com Bank - Avissawella,RC,Avissawella,,Once in Two Month,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Com Bank - Katunayake,GPC/MC,Katunayake,,Once in Two Month,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Com Bank - Padukka,RC,Padukka,,Once in Two Month,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Commercial Credit ,GPC/RC/MC,Pliyandala,,Daily,,,boss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB Pilimathalawa,RC/Cock/Ants/MC,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB Narammala,RC/Cock/Ants,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB Southern Region Office-Mathara,RC/Cock,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB Katugasthota-,RC/Fly/Ant/MC,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB Athurugiriya,RC/fly/Ant/Mc/TC,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB Kekirawa,RC/Cock/Ants/MC,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB Kollupitiya,MC,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Ethical Extract ,ANT,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB Panadura ,MC/RC,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,NDB - Maharagama,RC/MC,,,,,,Janadara,,,,,,,,,,,,,,,,❎,✅,,,,,,,,,,,,,
,TO BE ,NDB Havelock,,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,NDB-Hawlock town,,Hawalock Town,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Jayawardenapura Hospital,,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Nation Printing R/C,,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Kanvill Grand Hotel ,RC,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Thamara Athukorala,RC /RCV,Pitakotte,,Weekly,4 times,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Ceylon Royal Tea,,,,,,,wasatha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRO PEST OPARATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
